alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.253993957757659,0.033448787025916936,gray,2,hsv,51,94,0.5146008535040294,0.9359879609488041,3,11,rect,close,577,12,0.65803523293804
5.505464824190975,0.03403287101255943,gray,2,hsv,51,94,0.5069974376772587,0.9327202509356429,3,11,rect,close,576,13,0.6601200268279503
5.203798661471541,0.034711219517826415,gray,2,hsv,53,93,0.5168402138784924,0.9411227506633527,3,11,rect,close,592,13,0.6554074844422693
5.201286672216858,0.03403994658357737,gray,2,hsv,51,97,0.5001227611526521,0.937491588020611,3,11,rect,close,584,13,0.6559156931407303
1.507704959194958,0.0334094921948662,gray,2,hsv,51,93,0.5009489232131185,0.9417155444700461,3,11,rect,close,591,14,0.008023700303898129
4.956535531479778,0.033680175082388596,rgb,2,hsv,51,94,0.5060534784310213,0.93456936241127,3,11,rect,close,592,14,0.553888213635573
5.18346224534563,0.034379387016601766,rgb,2,hsv,53,96,0.507996593184213,0.9320600469866456,3,11,rect,close,563,13,0.5723480934744405
5.255411181396744,0.04396171856866155,gray,2,hsv,53,96,0.5125952154673717,0.9304544682785774,3,11,rect,open_close,559,13,0.579380846544554
5.241142346684734,0.041699585624179754,gray,2,hsv,58,95,0.5154723761213202,0.9391618340472027,3,11,rect,open_close,555,10,0.5744044959943848
5.165997219040877,0.02737060769495749,gray,2,hsv,58,94,0.5164879885850129,0.9386268090739853,3,11,rect,close,579,10,0.6498706316914924
5.517641094945545,0.036568795190752415,gray,2,hsv,50,93,0.5000457179903269,0.9342603776131376,3,11,rect,close,583,12,0.6634981080246408
5.347678215471558,0.037515698526920334,gray,2,hsv,48,93,0.5004802455334315,0.9462481685754398,3,11,rect,close,587,12,0.6599090706004688
5.364036863835892,0.03714166936805969,gray,2,hsv,50,93,0.500164318462306,0.9348186027500265,3,11,rect,close,584,12,0.6616370438579098
5.362252606204323,0.036904896896399045,gray,2,hsv,49,93,0.5020441459033113,0.9442243225391317,3,11,rect,close,583,11,0.6600724509863637
5.3534681666848005,0.03989524858534555,gray,2,hsv,52,93,0.5018348153768883,0.934157639571926,3,11,rect,close,594,11,0.6607514118221367
5.3421097863592255,0.03891253244170676,gray,2,hsv,53,93,0.5021106372913863,0.936302709473611,3,11,rect,close,597,11,0.6603065117089716
5.327691038858583,0.0378740931846324,gray,2,hsv,48,93,0.5005114618205692,0.9337661480200382,3,11,rect,open,596,11,0.6323947783147695
5.318529210375053,0.03870891261151364,gray,2,hsv,48,93,0.5010671921539775,0.934944928286173,3,11,rect,open,596,11,0.6308667566541616
5.035569690346338,0.03968525273663827,gray,2,hsv,52,97,0.5012357536233875,0.9359615879754896,3,11,rect,close,599,11,0.6469844303816301
4.8543957459775715,0.044796203315663335,gray,2,hsv,52,98,0.5053741152312747,0.9239731750745703,3,11,rect,close,585,45,0.6233610668200525
5.366864178527234,0.044179332728861716,gray,2,hsv,53,94,0.508064945904754,0.9459645246373383,3,11,rect,close,584,10,0.659786113606377
5.1512558962578625,0.036042115961460876,gray,2,hsv,54,94,0.5094381725309898,0.945861721790383,3,11,rect,close,350,12,0.6208872356225786
5.148562406380347,0.04141477051124047,gray,2,hsv,50,94,0.510726774996153,0.9448972997029228,3,11,rect,close,579,10,0.6463118854940582
5.391765090970008,0.04175040351450969,gray,2,hsv,50,95,0.5089051681509018,0.9406730632137645,3,11,rect,close,579,10,0.6593492115022485
